FECHA_UTC,ESTE,NORTE,VERTICAL,ERUPCION
2024-09-28,-0.17,-0.25,-0.86,1
2024-09-29,-0.18,-0.23,-0.73,1
2024-09-30,-0.06,-0.22,-0.54,1
2024-10-01,0.04,-0.23,-1.19,1
2024-10-02,0.03,-0.21,-0.66,1
2024-10-03,-0.1,-0.33,-0.87,1
2024-10-04,0.12,-0.31,-0.65,1
2024-10-05,-0.16,-0.12,-0.92,1
2024-10-06,-0.13,-0.18,-0.48,1
2024-10-07,-0.07,-0.12,-1.16,1
2024-10-08,-0.02,-0.34,-0.63,1
2024-10-09,-0.1,-0.15,-0.38,1
2024-10-10,-0.1,-0.54,-0.53,1
2024-10-11,-0.18,-0.3,-0.37,1
2024-10-12,-0.1,-0.28,-0.43,1
2024-10-13,-0.14,-0.23,-1.34,1
2024-10-14,-0.02,-0.47,-0.74,1
2024-10-15,-0.05,-0.44,-0.46,1
2024-10-16,-0.1,-0.22,-0.94,1
2024-10-17,-0.09,-0.3,-0.48,1
2024-10-18,-0.07,-0.34,-0.8,1
2024-10-19,-0.08,-0.36,-0.29,1
2024-10-20,0.06,-0.33,-0.66,1
2024-10-21,-0.08,-0.31,-0.25,1
2024-10-22,-0.12,-0.29,-0.5,1
2024-10-23,-0.07,-0.27,-0.54,1
2024-10-24,-0.09,-0.41,-0.47,1
2024-10-25,-0.02,-0.41,-0.17,0
2024-10-26,-0.06,-0.4,-0.03,1
2024-10-27,0.02,-0.33,-0.68,1
2024-10-28,-0.09,-0.35,-0.34,1
2024-10-29,-0.04,-0.42,-0.82,1
2024-10-30,-0.03,-0.45,-0.73,1
2024-10-31,-0.18,-0.42,-0.93,1
2024-11-01,0.05,-0.36,-0.14,1
2024-11-02,-0.04,-0.36,-0.29,1
2024-11-03,-0.03,-0.4,-0.65,1
2024-11-04,-0.11,-0.27,-0.69,1
2024-11-05,-0.09,-0.26,-0.27,1
2024-11-06,-0.03,-0.26,-0.74,1
2024-11-07,0.15,-0.48,-0.58,1
2024-11-08,-0.12,-0.38,-0.66,1
2024-11-09,-0.02,-0.63,-0.18,1
2024-11-10,0.09,-0.39,-0.63,1
2024-11-11,-0.16,-0.32,-0.85,1
2024-11-12,-0.02,-0.44,-0.14,1
2024-11-13,-0.06,-0.43,-0.33,1
2024-11-14,-0.14,-0.5,-1.26,1
2024-11-15,-0.17,-0.52,-0.89,1
2024-11-16,-0.1,-0.45,0.27,1
2024-11-17,-0.06,-0.49,-0.47,1
2024-11-18,-0.03,-0.37,-0.31,1
2024-11-19,-0.13,-0.4,-0.22,1
2024-11-20,0.03,-0.45,-0.36,1
2024-11-21,0.06,-0.44,-0.29,1
2024-11-22,0.09,-0.31,-0.48,1
2024-11-23,0.03,-0.34,-0.94,1
2024-11-24,-0.16,-0.32,-0.33,1
2024-11-25,-0.01,-0.37,-0.9,1
2024-11-26,-0.11,-0.56,-1.19,1
2024-11-27,-0.08,-0.8,-0.16,1
2024-11-28,-0.15,-0.37,-0.48,1
2024-11-29,-0.14,-0.45,-0.9,1
2024-11-30,-0.03,-0.44,-0.61,1
2024-12-01,0.05,-0.46,-0.65,1
2024-12-02,-0.02,-0.26,-0.6,1
2024-12-03,0.06,-0.54,-1.09,1
2024-12-04,-0.02,-0.27,-0.13,1
2024-12-05,0.0,-0.14,0.03,1
2024-12-06,-0.08,-0.32,-0.76,1
2024-12-07,0.04,-0.32,-0.67,1
2024-12-08,0.03,-0.45,-1.09,1
2024-12-09,-0.07,-0.23,-1.04,1
2024-12-10,0.1,-0.34,-0.53,1
2024-12-11,0.11,-0.21,-0.72,1
2024-12-12,0.05,-0.2,-0.95,1
2024-12-13,-0.08,-0.13,-0.94,1
2024-12-14,-0.16,-0.13,-0.29,1
2024-12-17,0.15,-0.25,-0.78,1
2024-12-18,-0.22,-0.19,-1.33,1
2024-12-19,0.12,-0.3,-0.7,1
2024-12-20,-0.05,-0.26,0.31,1
2024-12-21,0.03,-0.3,-0.11,1
