FECHA_CORTE,UBIGEO,ANIO,DEPARTAMENTO,PROVINCIA,FECHA_UTC,ESTE,NORTE,VERTICAL,VOLCAN
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240228,-0.1,-0.28,-0.09,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240229,-0.32,-0.56,-0.09,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240301,0.2,-0.02,-0.99,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240302,0.04,-0.2,-0.11,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240303,0.11,-0.49,0.26,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240304,-0.1,-0.56,-0.14,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240305,-0.15,-0.61,-0.61,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240314,-1.07,0.03,-2.93,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240503,-0.22,-0.41,-0.23,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240504,0.07,-0.28,-0.15,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240505,0.06,-0.13,-0.4,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240506,0.07,-0.32,-0.08,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240507,0.25,-0.18,-0.39,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240508,0.11,-0.23,-0.56,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240509,0.05,-0.2,-0.28,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240510,-0.07,-0.14,-0.6,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240511,-0.07,-0.26,0.13,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240512,0.07,-0.14,-0.07,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240513,-0.03,-0.08,-0.45,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240514,-0.22,-0.25,-0.54,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240515,0.15,-0.27,-0.13,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240516,0.16,-0.2,-0.11,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240517,0.01,-0.14,-0.39,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240518,0.06,-0.16,0.05,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240519,0.08,-0.11,-0.53,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240520,0.13,-0.31,-0.22,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240521,0.24,-0.07,-0.44,UBINAS
